frame,a_AU,R_d_Rsun,R_wd_Rsun,brightness_d,brightness_w,color_d_K,color_wd_K,M_d_Msun,M_wd_Msun,P_days,is_SN
18,0.011056417020789753,0.8922129357148783,0.007919796280532649,0.602255322609673,0.4838901474268478,5388.1498851412925,7463.183138491095,0.8651276346107662,0.9078978923113867,0.3184282759237044,0
19,0.011046433584171617,0.890561975145812,0.0079041821372345,0.5978091945943902,0.44310022256817577,5382.734164744642,7474.892732132339,0.8632980106043217,0.9093615915165424,0.318043063215168,0
20,0.011036775555728648,0.8890549249584762,0.007889937308011463,0.5929995139658498,0.48370595826517554,5376.836269512532,7487.630055712355,0.8613078037949442,0.9109537569640443,0.31767692319495,0
21,0.011027120985588394,0.8874148781330489,0.007874444224458243,0.5888988803258235,0.4160537897116668,5371.775104883573,7498.548039200691,0.8596018688748917,0.9123185049000864,0.31729505583649437,0
22,0.011017675627932797,0.8860084846436543,0.007861165652997139,0.5840340749358792,0.49800506838952424,5365.731115106323,7511.571292943615,0.8575669854775598,0.9139464116179519,0.31694714124084483,0
23,0.011008212212744369,0.8843301717218144,0.007845328380405744,0.5804574996789871,0.3692518421394535,5361.259794250221,7521.195419126755,0.8560632157614441,0.9151494273908444,0.3165592846971088,0
24,0.010999150099201748,0.8830893942132932,0.00783362585328199,0.5752133686108433,0.546232662688968,5354.660502362325,7535.383614844806,0.8538463101804986,0.9169229518556008,0.31624261939675435,0
25,0.010990052476035472,0.8812594047646969,0.007816375256085025,0.5726404975079398,0.27014537579565495,5351.4037288912195,7542.378421037178,0.8527533717129405,0.9177973026296472,0.31582527613628514,0
26,0.01098093882714684,0.8803568670208096,0.0078078713525112815,0.5662009195091481,0.6823346752840994,5343.196645911146,7559.98450229272,0.8500024215167621,0.91999806278659,0.3155777451502501,0
27,0.010972177991631048,0.8780841347109589,0.007786468624490055,0.5659525555952274,0.02650239682162361,5342.878499530272,7560.666398172058,0.8498958752856157,0.9200832997715072,0.3150653360650961,0
28,0.010963357816475632,0.8779960806296175,0.007785639729816929,0.5560814745517658,1.0641578377720282,5330.135187462553,7587.942753577038,0.8456339447535876,0.9234928441971297,0.315001319381025,0
29,0.010954585386583856,0.874472036193175,0.007752485872470306,0.5560814745517658,0.0,5330.135187462553,7587.942753577038,0.8456339447535876,0.9234928441971297,0.314476977172425,0
30,0.010945994285179375,0.874472036193175,0.007752485872470306,0.5517985210041056,0.46867525468474036,5324.545098043814,7599.885316251606,0.8437679193356863,0.9249856645314508,0.3141646094660979,0
31,0.010937325820997443,0.8729279662515044,0.007737971301911511,0.5488941774908612,0.32024773918709126,5320.7329877130405,7608.021494677298,0.842496641456672,0.9260026868346621,0.3137877918641084,0
32,0.01092905141847925,0.8718756377247385,0.007728083272181447,0.5437907664683977,0.5674950437014823,5313.992046824671,7622.392906564324,0.8402511083493241,0.9277991133205404,0.31353345926537285,0
33,0.010920690239807246,0.8700160713869957,0.007710618124416175,0.5426788286585538,0.12448478186652032,5312.516071104494,7625.536939632588,0.8397598531824081,0.9281921174540734,0.3130668626030238,0
